composition_id,Nb_atoms,Ta_atoms,Ti_atoms,Zr_atoms,Nb_frac,Ta_frac,Ti_frac,Zr_frac
comp_425,30,3,9,6,0.625000,0.062500,0.187500,0.125000
comp_426,30,3,12,3,0.625000,0.062500,0.250000,0.062500
comp_427,30,6,3,9,0.625000,0.125000,0.062500,0.187500
comp_428,30,6,6,6,0.625000,0.125000,0.125000,0.125000
comp_429,30,6,9,3,0.625000,0.125000,0.187500,0.062500
comp_430,30,9,3,6,0.625000,0.187500,0.062500,0.125000
comp_431,30,9,6,3,0.625000,0.187500,0.125000,0.062500
comp_432,30,12,3,3,0.625000,0.250000,0.062500,0.062500
comp_433,33,3,3,9,0.687500,0.062500,0.062500,0.187500
comp_434,33,3,6,6,0.687500,0.062500,0.125000,0.125000
comp_435,33,3,9,3,0.687500,0.062500,0.187500,0.062500
comp_436,33,6,3,6,0.687500,0.125000,0.062500,0.125000
comp_437,33,6,6,3,0.687500,0.125000,0.125000,0.062500
comp_438,33,9,3,3,0.687500,0.187500,0.062500,0.062500
